city,country
Ajim,TUN
Ajjampur,IND
Ajjanahalli,IND
Ajjipuram,IND
Ajka,HUN
Ajmer,IND
Ajnala,IND
Ajodhya,IND
Ajuy,PHL
Akabira,JPN
Akaiwa,JPN
Akalgarh,IND
Akanavaritota,IND
Akassato,BEN
Akat Amnuai,THA
Akbarpur,IND
Akbarpur,IND
Akbou,DZA
Akcaabat,TUR
Akcadag,TUR
Akcakale,TUR
Akcakoca,TUR
Akdagmadeni,TUR
Akdepe,TKM
Ak-Dovurak,RUS
Akersberga,SWE
Aketao,CHN
Aketi,COD
Akhaltsikhe,GEO
Akhisar,TUR
Akhmim,EGY
Akhnur,IND
Akhtubinsk,RUS
Akhty,RUS
Akhuryan,ARM
Aki,JPN
Akil,MEX
Akim Swedru,GHA
Akiruno,JPN
Akishima,JPN
Akita,JPN
Akitakata,JPN
Akividu,IND
Akjoujt,MRT
Akkus,TUR
Aklanpa,BEN
Aklim,MAR
Aklvidu,IND
Akola,IND
Akonolinga,CMR
Akora,PAK
Akora,IND
Ak'ordat,ERI
Akot,IND
Akouda,TUN
Akpassi,BEN
Akron,USA
Akropong,GHA
Aksaray,TUR
Aksay,RUS
Aksay,KAZ
Aksay,RUS
Aksehir,TUR
Akseki,TUR
Aksu,CHN
Aksum,ETH
Ak-Suu,KGZ
Akune,JPN
Akurana,LKA
Akure,NGA
Akureyri,ISL
Akwatia,GHA
Akyaka,TUR
Akyazi,TUR
Al `Ajami,EGY
Al `Alamayn,EGY
Al `Amadiyah,IRQ
Al `Amarah,IRQ
Al `Amirat,OMN
Al `Aqabah,JOR
Al `Aqiq,SAU
Al `Arish,EGY
Al `Asharah,SYR
Al `Ashir min Ramadan,EGY
Al `Awwamiyah,SAU
Al `Aydabi,SAU
Al `Ayn,ARE
Al `Ayyat,EGY
Al `Aziziyah,LBY
Al `Aziziyah,IRQ
Al `Uqaylah,LBY
Al Aaroui,MAR
Al Abraq,LBY
Al Ahad al Masarihah,SAU
Al Ahmadi,KWT
Al Atarib,SYR
Al 'Attawia,MAR
Al Awjam,SAU
Al Badari,EGY
Al Badrashayn,EGY
Al Bahah,SAU
Al Balyana,EGY
Al Bardiyah,LBY
Al Basrah,IRQ
Al Bayda',LBY
Al Bayda',YEM
Al Brouj,MAR
Al Buraymi,OMN
Al Fallujah,IRQ
Al Faw,IRQ
Al Fayd,MAR
Al Fayyum,EGY
Al Fqih Ben Calah,MAR
Al Fuhays,JOR
Al Fujayrah,ARE
Al Ghardaqah,EGY
Al Ghat,SAU
Al Ghayzah,YEM
Al Ghizlaniyah,SYR
Al Ha'ir,SAU
Al Hajar al Aswad,SYR
Al Hamah,SYR
Al Hamalah,BHR
Al Hamdaniyah,IRQ
Al Hammam,MAR
Al Hamzah,IRQ
Al Hasakah,SYR
Al Hashimiyah,IRQ
Al Hawiyah,SAU
Al Hayy,IRQ
Al Hazm,YEM
Al Hibah,EGY
Al Hillah,SAU
Al Hillah,IRQ
Al Hindiyah,IRQ
Al Hisn,JOR
Al Hoceima,MAR
Al Hudaydah,YEM
Al Hufuf,SAU
Al Husayniyah,EGY
Al Jabayish,IRQ
Al Jabin,YEM
Al Jaghbub,LBY
Al Jahra',KWT
Al Jammaliyah,EGY
Al Jawf,LBY
Al Jazirah al Hamra',ARE
Al Jizah,JOR
Al Jubayl,SAU
Al Jumayl,LBY
Al Jumayliyah,QAT
Al Karak,JOR
Al Karak,SYR
Al Karnak,EGY
Al Khankah,EGY
Al Kharj,SAU
Al Kharjah,EGY
Al Khawr,QAT
Al Khmissat,MAR
Al Khubar,SAU
Al Khums,LBY
Al Kiswah,SYR
Al Kufah,IRQ
Al Kut,IRQ
Al Lataminah,SYR
Al Lith,SAU
Al Ma`alla',YEM
Al Madad,YEM
Al Madamud,EGY
Al Madrah Sama'il,OMN
Al Mafraq,JOR
Al Mahallah al Kubra,EGY
Al Mahwit,YEM
Al Majaridah,SAU
Al Majma`ah,SAU
Al Malikiyah,BHR
Al Malikiyah,SYR
Al Manaqil,SDN
Al Mansurah,EGY
Al Mansurah,YEM
Al Marj,LBY
Al Matariyah,EGY
Al Mayadin,SYR
Al Mazar ash Shamali,JOR
Al M'aziz,MAR
Al Mazyunah,OMN
Al Midhnab,SAU
Al Mijlad,SDN
Al Mindak,SAU
Al Minshah,EGY
Al Minya,EGY
Al Miqdadiyah,IRQ
Al Mu`abbadah,SYR
Al Mu`addamiyah,SYR
Al Mubarraz,SAU
Al Mudaybi,OMN
Al Muharraq,BHR
Al Mukalla,YEM
Al Musayfirah,SYR
Al Musayyib,IRQ
Al Muzayrib,SYR
Al Qa`idah,YEM
Al Qa'im,IRQ
Al Qamishli,SYR
Al Qaryatayn,SYR
Al Qasr,EGY
Al Qatif,SAU
Al Qays,EGY
Al Qbab,MAR
Al Qubbah,LBY
Al Qunaytirah,SYR
Al Qunfudhah,SAU
Al Qurayn,EGY
Al Qurayya,SYR
Al Qurayyat,SAU
Al Qurnah,IRQ
Al Qusayr,SYR
Al Qusiyah,EGY
Al Qutayfah,SYR
Al Quway`iyah,SAU
Al Wajh,SAU
Al Wakrah,QAT
Ala,ITA
Alaattin,TUR
Alabang,PHL
Alabaster,USA
Alabat,PHL
Alabel,PHL
Ala-Buka,KGZ
Alacam,TUR
Alacati,TUR
Alachua,USA
Alacuas,ESP
Aladag,TUR
Alafaya,USA
Alagappapuram,IND
Alagarai,IND
Alagir,RUS
Alagoa Grande,BRA
Alagoa Nova,BRA
Alagoinha,BRA
Alagoinha,BRA
Alagoinhas,BRA
Alajarvi,FIN
Alajuela,CRI
Alajuelita,CRI
Alakamisy,MDG
Alakamisy Anativato,MDG
Alakamisy Itenina,MDG
Alakamisy-Ambohimaha,MDG
Alakamisy-Ambohimahazo,MDG
Alamada,PHL
Alamat'a,ETH
Alameda,USA
Alamedin,KGZ
Alaminos,PHL
Alaminos,PHL
Alamnagar,IND
Alamo,MEX
Alamo,USA
Alamo,USA
Alamogordo,USA
Alamos,MEX
Alamosa,USA
Alampalaiyam,IND
Alampur,IND
Alampur,IND
Alampur,IND
Alampur Gonpura,IND
Alamuru,IND
Aland,IND
Alangalang,PHL
Alanganallur,IND
Alangayam,IND
Alangudi,IND
Alangulam,IND
Alanya,TUR
Alapayevsk,RUS
Alapli,TUR
Alarobia,MDG
Alarobia Bemaha,MDG
Alasandigutta,IND
Alasehir,TUR
Alashankou,CHN
Alassio,ITA
Alat,AZE
Alatri,ITA
Alatsinainy Ialamarina,MDG
Alatsinainy-Bakaro,MDG
Alatyr,RUS
Alauli,IND
Alausi,ECU
Alaverdi,ARM
Alavus,FIN
Alawalpur,IND
Alawandi,IND
Alayor,ESP
Alba,ITA
Alba Iulia,ROU
Albacete,ESP
Albal,ESP
Albania,COL
Albano Laziale,ITA
Albany,USA
Albany,USA
Albany,USA
Albany,USA
Albany,AUS
Albatera,ESP
Albemarle,USA
Albenga,ITA
Alberdi,PRY
Albergaria-a-Velha,PRT
Alberique,ESP
Alberobello,ITA
Albert,FRA
Albert Lea,USA
Albertirsa,HUN
Alberton,ZAF
Albertville,USA
Albertville,FRA
Albi,FRA
Albignasego,ITA
Albina,SUR
Albinea,ITA
Albino,ITA
Alblasserdam,NLD
Albolote,ESP
Alboraya,ESP
Albox,ESP
Albstadt,DEU
Albu Kamal,SYR
Albuera,PHL
Albufeira,PRT
Albuquerque,USA
Alburquerque,PHL
Albury,AUS
Alcacer do Sal,PRT
Alcala,PHL
Alcala,PHL
Alcala,COL
Alcala de Guadaira,ESP
Alcala de Henares,ESP
Alcala la Real,ESP
Alcalde Diaz,PAN
Alcamo,ITA
Alcanar,ESP
Alcanena,PRT
Alcaniz,ESP
Alcantara,BRA
Alcantara,PHL
Alcantara,PHL
Alcantaras,BRA
Alcantarilla,ESP
Alcarraz,ESP
Alcaudete,ESP
Alcazar de San Juan,ESP
Alchevsk,UKR
Alcira,ESP
Alcoa,USA
Alcobaca,PRT
Alcobaca,BRA
Alcobendas,ESP
Alcochete,PRT
Alcora,ESP
Alcorcon,ESP
Alcorta,ARG
Alcoy,ESP
Alcoy,PHL
Alcudia,ESP
Aldama,MEX
Aldama,MEX
Aldan,RUS
Aldaya,ESP
Aldeias Altas,BRA
Alden,USA
Aldenham,GBR
Aldenhoven,DEU
Alderetes,ARG
Aldershot,GBR
Alderwood Manor,USA
Aldine,USA
Aldo Bonzi,ARG
Aldona,IND
Aldridge,GBR
Alebtong,UGA
Aleg,MRT
Alegre,BRA
Alegrete,BRA
Alegria,PHL
Alegria,PHL
Alegria,SLV
Alejandro Korn,ARG
Aleksandrov,RUS
Aleksandrov Gay,RUS
Aleksandrovac,SRB
Aleksandrovka,KGZ
Aleksandrovsk,RUS
Aleksandrovskoye,RUS
Aleksandrovsk-Sakhalinskiy,RUS
Aleksandrow Kujawski,POL
Aleksandrow Lodzki,POL
Alekseyevka,RUS
Aleksin,RUS
Aleksinac,SRB
Alella,ESP
Alem Paraiba,BRA
Alencon,FRA
Alenquer,BRA
Alenquer,PRT
Aleppo,SYR
Alerce,CHL
Ales,FRA
Alesd,ROU
Aleshtar,IRN
Alessandria,ITA
Alesund,NOR
Alexander Bay,ZAF
Alexander City,USA
Alexandreia,GRC
Alexandria,EGY
Alexandria,USA
Alexandria,ROU
Alexandria,USA
Alexandria,USA
Alexandria,BRA
Alexandria,USA
Alexandroupoli,GRC
Alexania,BRA
Aleysk,RUS
Alfafar,ESP
Alfajayucan,MEX
Alfaro,ESP
Alfeld,DEU
Alfena,PRT
Alfenas,BRA
Alfonsine,ITA
Alfonso,PHL
Alfonso Castaneda,PHL
Alfortville,FRA
Alfred and Plantagenet,CAN
Alfredo Chaves,BRA
Alfredo Wagner,BRA
Alfreton,GBR
Alfter,DEU
Alga,KAZ
Algarrobo,COL
Algarrobo,CHL
Algeciras,ESP
Algeciras,COL
Algemesi,ESP
Algete,ESP
Alghero,ITA
Algiers,DZA
Alginet,ESP
Algonquin,USA
Alguazas,ESP
Algun,IND
Alhama de Murcia,ESP
Alhambra,USA
Alhandra,BRA
Alhaurin de la Torre,ESP
Alhaurin el Grande,ESP
Alhendin,ESP
'Ali Ben Sliman,MAR
Ali Sabieh,DJI
Aliabad,AZE
Aliaga,TUR
Aliaga,PHL
Alianca,BRA
Alibunar,SRB
Alicante,ESP
Alice,USA
Alice Springs,AUS
Alicia,PHL
Alicia,PHL
Alicia,PHL
Aliganj,IND
Aligarh,IND
Aligudarz,IRN
Alijo,PRT
Alimodian,PHL
Alimos,GRC
Alindao,CAF
Alingsas,SWE
Alipur,IND
Alipur Duar,IND
Alipura,IND
Aliquippa,USA
Aliso Viejo,USA
Alitagtag,PHL
Aliwal North,ZAF
Aliyabad,IND
Alken,BEL
Alkhan-Kala,RUS
Alkhan-Yurt,RUS
Alkmaar,NLD
Allacapan,PHL
Allada,BEN
Allagadda,IND
Allahdurg,IND
Allahpur,IND
Allanmyo,MMR
Allanridge,ZAF
Allauch,FRA
Allen,USA
Allen,PHL
Allen,ARG
Allen Park,USA
Allendale,USA
Allende,MEX
Allentown,USA
Alleppey,IND
Alleroy,RUS
Allestree,GBR
Alliance,USA
Allinagaram,IND
Allison Park,USA
Alloa,GBR
Allonnes,FRA
Allouez,USA
Allschwil,CHE
Allur,IND
Alluru,IND
Alma,CAN
Alma,USA
Almada,PRT
Almagro,PHL
Almagro,ESP
Almaguer,COL
Almansa,ESP
Almargem,PRT
Almasi,TJK
Almaty,KAZ
Almazora,ESP
Almeirim,BRA
Almeirim,PRT
Almel,IND
Almelo,NLD
Almenara,BRA
Almendralejo,ESP
Almere,NLD
Almeria,ESP
Almeria,PHL
Almetyevsk,RUS
Almhult,SWE
Almirante,PAN
Almirante Tamandare,BRA
Almolonga,GTM
Almoloya,MEX
Almoloya de Alquisiras,MEX
Almoloya del Rio,MEX
Almondbury,GBR
Almonte,ESP
Almora,IND
Almoradi,ESP
Almunecar,ESP
Almus,TUR
Almusafes,ESP
Alnavar,IND
Alnif,MAR
Alofi,NIU
Aloguinsan,PHL
Aloha,USA
Alor Setar,MYS
Aloran,PHL
Alotau,PNG
Alotenango,GTM
Alovera,ESP
Alpedrete,ESP
Alpen,DEU
Alpena,USA
Alpharetta,USA
Alphen aan den Rijn,NLD
Alpignano,ITA
Alpine,USA
Alpine,USA
Alpinopolis,BRA
Alpu,TUR
Alquizar,CUB
Alsager,GBR
Alsbach-Hahnlein,DEU
Alsdorf,DEU
Alsfeld,DEU
Alsip,USA
Alta,SWE
Alta,NOR
Alta Floresta,BRA
Alta Floresta D'Oeste,BRA
Alta Gracia,ARG
Altadena,USA
Altagracia,NIC
Altagracia de Orituco,VEN
Altamira,BRA
Altamira,MEX
Altamira,DOM
Altamira do Maranhao,BRA
Altamirano,MEX
Altamont,USA
Altamonte Springs,USA
Altamura,ITA
Altata,MEX
Altavas,PHL
Altavilla Vicentina,ITA
Altay,CHN
Altay,MNG
Altdorf,CHE
Altdorf,DEU
Altea,ESP
Altena,DEU
Altenbeken,DEU
Altenberge,DEU
Altenburg,DEU
Altenholz,DEU
Altenstadt,DEU
Altensteig,DEU
Altepexi,MEX
Alterosa,BRA
Altinekin,TUR
Altinoluk,TUR
Altinopolis,BRA
Altinova,TUR
Altintas,TUR
Altinyayla,TUR
Altlandsberg,DEU
Altmunster,AUT
Alto Alegre dos Parecis,BRA
Alto Araguaia,BRA
Alto do Rodrigues,BRA
Alto Garcas,BRA
Alto Hospicio,CHL
Alto Longa,BRA
Alto Paraguai,BRA
Alto Parana,BRA
Alto Parnaiba,BRA
Alto Piquiri,BRA
Alto Rio Doce,BRA
Alto Rio Senguer,ARG
Alto Santo,BRA
Alto-Cuilo,AGO
Altofonte,ITA
Alton,USA
Alton,USA
Alton,GBR
Altonia,BRA
Altoona,USA
Altoona,USA
Altopascio,ITA
Altos,BRA
Altos,PRY
Altos del Rosario,COL
Altotting,DEU
Altrincham,GBR
Altstatten,CHE
Altun Kawbri,IRQ
Altunhisar,TUR
Altus,USA
Altusried,DEU
Alubijid,PHL
Alucra,TUR
Alukkuli,IND
Aluksne,LVA
Alum Rock,USA
Alur,IND
Alushta,UKR
Alvand,IRN
Alvarado,MEX
Alvarado,COL
Alvaraes,BRA
Alvares Machado,BRA
Alvin,USA
Alvinopolis,BRA
Alvorada,BRA
Alvorada,BRA
Alvorada do Sul,BRA
Alvorada D'Oeste,BRA
Alwa Tirunagari,IND
Alwal,IND
Alwar,IND
Alwarkurichchi,IND
Alwaye,IND
Alytus,LTU
Alzano Lombardo,ITA
Alzenau in Unterfranken,DEU
Alzey,DEU
Aljaraque,ESP
Aljustrel,PRT
Ama,JPN
Amacuzac,MEX
Amadalli,IND
Amadeo,PHL
Amadora,PRT
Amaga,COL
Amagasaki,JPN
Amaha,IND
Amahai,IDN
Amakusa,JPN
Amal,SWE
Amalapuram,IND
Amalfi,COL
Amaliada,GRC
Amalner,IND
Amalou,DZA
Amambai,BRA
Amami,JPN
Amancio,CUB
Amangal,IND
Amanganj,IND
Amantea,ITA
Amapa,BRA
Amaraji,BRA
Amarante,PRT
Amarante,BRA
Amarante do Maranhao,BRA
Amarapura,MMR
Amarapuuram,IND
Amaravati,IND
Amaravati,IND
Amarchinta,IND
Amares,PRT
